id,vestibular,ano,questao_numero,url_github
fuvest-2025-1,FUVEST,2025,1,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/1.json
fuvest-2025-10,FUVEST,2025,10,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/10.json
fuvest-2025-11,FUVEST,2025,11,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/11.json
fuvest-2025-12,FUVEST,2025,12,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/12.json
fuvest-2025-13,FUVEST,2025,13,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/13.json
fuvest-2025-14,FUVEST,2025,14,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/14.json
fuvest-2025-15,FUVEST,2025,15,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/15.json
fuvest-2025-16,FUVEST,2025,16,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/16.json
fuvest-2025-17,FUVEST,2025,17,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/17.json
fuvest-2025-2,FUVEST,2025,2,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/2.json
fuvest-2025-22,FUVEST,2025,22,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/22.json
fuvest-2025-3,FUVEST,2025,3,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/3.json
fuvest-2025-37,FUVEST,2025,37,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/37.json
fuvest-2025-38,FUVEST,2025,38,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/38.json
fuvest-2025-41,FUVEST,2025,41,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/41.json
fuvest-2025-42,FUVEST,2025,42,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/42.json
fuvest-2025-43,FUVEST,2025,43,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/43.json
fuvest-2025-44,FUVEST,2025,44,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/44.json
fuvest-2025-45,FUVEST,2025,45,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/45.json
fuvest-2025-46,FUVEST,2025,46,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/46.json
fuvest-2025-47,FUVEST,2025,47,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/47.json
